"pop_id","pixel_id","x","y","tile_id","clc_code","clc_name","Onset_Greenness_Increase_2013","Onset_Greenness_Increase_2014","Onset_Greenness_Increase_2015","Onset_Greenness_Increase_2016","Onset_Greenness_Increase_2017","Onset_Greenness_Increase_2018","Onset_Greenness_Increase_2019","Onset_Greenness_Increase_2020","Onset_Greenness_Increase_2021","Onset_Greenness_Increase_2022","Onset_Greenness_Increase_2023","GLSP_QC_2013","GLSP_QC_2014","GLSP_QC_2015","GLSP_QC_2016","GLSP_QC_2017","GLSP_QC_2018","GLSP_QC_2019","GLSP_QC_2020","GLSP_QC_2021","GLSP_QC_2022","GLSP_QC_2023","PGQ_Onset_Greenness_Increase_2013","PGQ_Onset_Greenness_Increase_2014","PGQ_Onset_Greenness_Increase_2015","PGQ_Onset_Greenness_Increase_2016","PGQ_Onset_Greenness_Increase_2017","PGQ_Onset_Greenness_Increase_2018","PGQ_Onset_Greenness_Increase_2019","PGQ_Onset_Greenness_Increase_2020","PGQ_Onset_Greenness_Increase_2021","PGQ_Onset_Greenness_Increase_2022","PGQ_Onset_Greenness_Increase_2023","QC_mandatory_quality_2013","QC_mandatory_quality_2014","QC_mandatory_quality_2015","QC_mandatory_quality_2016","QC_mandatory_quality_2017","QC_mandatory_quality_2018","QC_mandatory_quality_2019","QC_mandatory_quality_2020","QC_mandatory_quality_2021","QC_mandatory_quality_2022","QC_mandatory_quality_2023","QC_climatology_2013","QC_climatology_2014","QC_climatology_2015","QC_climatology_2016","QC_climatology_2017","QC_climatology_2018","QC_climatology_2019","QC_climatology_2020","QC_climatology_2021","QC_climatology_2022","QC_climatology_2023","QC_land_water_2013","QC_land_water_2014","QC_land_water_2015","QC_land_water_2016","QC_land_water_2017","QC_land_water_2018","QC_land_water_2019","QC_land_water_2020","QC_land_water_2021","QC_land_water_2022","QC_land_water_2023"
"Arija_2",16163,-322697.30704225,4780692.26520525,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",16164,-322233.99432575,4780692.26520525,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",16165,-321770.68160925,4780692.26520525,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",16166,-321307.36889275,4780692.26520525,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16167,-320844.05617625,4780692.26520525,"h17v04",2,"Discontinuous urban fabric",96,88,102,105,59,99,79,95,54,104,64,104,113,104,96,100,100,105,116,116,112,76,14,14,85,14,100,0,100,85,42,57,42,"processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 6-10%","climatology fill 16-20%","climatology fill 6-10%","climatology fill 0%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 21-30%","climatology fill 21-30%","climatology fill 16-20%","climatology fill 11-15%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline"
"Arija_2",16168,-320380.74345975,4780692.26520525,"h17v04",41,"Water bodies",134,61,103,97,34,84,59,94,39,82,57,108,116,104,104,68,100,72,80,108,84,116,57,100,85,42,42,28,100,100,0,0,57,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 11-15%","climatology fill 21-30%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 16-20%","climatology fill 11-15%","climatology fill 21-30%","climatology fill 21-30%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline","shallow inland water","ocean/lake coastline","ocean/lake coastline","shallow inland water","ocean/lake coastline","shallow inland water"
"Arija_2",16169,-319917.43074325,4780692.26520525,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,67,67,67,67,99,67,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","shallow inland water","ocean/lake coastline","shallow inland water"
"Arija_2",16408,-322697.30704225,4780228.95248875,"h17v04",21,"Land principally occupied by agriculture, with significant areas of natural vegetation",65,53,74,59,39,57,30,37,56,70,56,81,84,69,76,72,72,44,68,77,80,41,0,71,0,0,42,57,0,100,28,28,42,"processed, other quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, other quality","climatology fill 16-20%","climatology fill 21-30%","climatology fill 1-5%","climatology fill 11-15%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 11-15%","climatology fill 1-5%","climatology fill 11-15%","climatology fill 16-20%","climatology fill 6-10%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land"
"Arija_2",16409,-322233.99432575,4780228.95248875,"h17v04",21,"Land principally occupied by agriculture, with significant areas of natural vegetation",67,46,49,16,55,70,32,21,25,68,83,85,76,72,85,72,84,85,80,81,64,68,0,85,0,0,57,42,0,28,0,0,14,"processed, other quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","climatology fill 21-30%","climatology fill 11-15%","climatology fill 6-10%","climatology fill 21-30%","climatology fill 6-10%","climatology fill 21-30%","climatology fill 21-30%","climatology fill 16-20%","climatology fill 16-20%","climatology fill 0%","climatology fill 1-5%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16410,-321770.68160925,4780228.95248875,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67,67,67,67,67,67,67,67,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16411,-321307.36889275,4780228.95248875,"h17v04",41,"Water bodies",63,54,77,84,86,87,46,12,34,66,93,89,88,73,76,64,88,76,80,85,84,68,0,42,42,14,100,0,85,71,0,57,100,"processed, other quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","climatology fill >31%","climatology fill >31%","climatology fill 6-10%","climatology fill 11-15%","climatology fill 0%","climatology fill >31%","climatology fill 11-15%","climatology fill 16-20%","climatology fill 21-30%","climatology fill 21-30%","climatology fill 1-5%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16412,-320844.05617625,4780228.95248875,"h17v04",27,"Moors and heathland",78,52,83,86,93,108,90,77,36,71,68,76,68,72,68,68,68,72,68,76,76,68,0,42,42,28,100,85,85,57,0,28,42,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 11-15%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 11-15%","climatology fill 11-15%","climatology fill 1-5%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16413,-320380.74345975,4780228.95248875,"h17v04",27,"Moors and heathland",81,96,NA,111,135,117,116,103,44,98,110,48,67,67,68,64,32,72,72,68,68,76,0,28,NA,28,85,100,100,28,0,57,42,"processed, good quality","not processed","not processed","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 16-20%","climatology fill 0%","climatology fill 0%","climatology fill 1-5%","climatology fill 0%","climatology fill 0%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 11-15%","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16414,-319917.43074325,4780228.95248875,"h17v04",27,"Moors and heathland",122,102,156,27,68,89,86,96,44,116,85,40,72,64,68,68,44,80,80,76,67,72,42,57,100,57,100,42,100,71,0,71,100,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","not processed","processed, good quality","climatology fill 6-10%","climatology fill 6-10%","climatology fill 0%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 11-15%","climatology fill 16-20%","climatology fill 16-20%","climatology fill 11-15%","climatology fill 0%","climatology fill 6-10%","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16415,-319454.11802675,4780228.95248875,"h17v04",26,"Natural grasslands",52,79,118,113,105,109,103,38,86,100,90,57,72,40,72,72,84,77,68,84,80,44,0,57,42,0,100,57,42,57,42,42,0,"processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill >31%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 21-30%","climatology fill 11-15%","climatology fill 1-5%","climatology fill 21-30%","climatology fill 16-20%","climatology fill 11-15%","land","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land"
"Arija_2",16653,-322697.30704225,4779765.63977225,"h17v04",21,"Land principally occupied by agriculture, with significant areas of natural vegetation",79,27,83,76,52,56,86,92,40,29,45,44,76,36,68,64,72,32,72,72,68,44,0,0,28,57,100,57,100,71,0,100,85,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 11-15%","climatology fill 11-15%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 0%","climatology fill 6-10%","climatology fill 0%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 11-15%","land","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land"
"Arija_2",16654,-322233.99432575,4779765.63977225,"h17v04",21,"Land principally occupied by agriculture, with significant areas of natural vegetation",67,50,65,85,36,65,51,NA,25,72,29,68,72,76,68,36,64,64,67,77,64,72,0,71,71,0,14,85,85,NA,0,0,28,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","not processed","processed, other quality","processed, good quality","processed, good quality","climatology fill 1-5%","climatology fill 6-10%","climatology fill 11-15%","climatology fill 1-5%","climatology fill 1-5%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 11-15%","climatology fill 0%","climatology fill 6-10%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16655,-321770.68160925,4779765.63977225,"h17v04",21,"Land principally occupied by agriculture, with significant areas of natural vegetation",70,64,54,100,22,62,34,342,NA,94,319,76,64,72,72,40,76,72,76,67,64,72,0,85,14,0,0,71,14,14,NA,0,28,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","not processed","processed, good quality","processed, good quality","climatology fill 11-15%","climatology fill 0%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 11-15%","climatology fill 6-10%","climatology fill 11-15%","climatology fill 0%","climatology fill 0%","climatology fill 6-10%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16656,-321307.36889275,4779765.63977225,"h17v04",20,"Complex cultivation patterns",72,67,250,69,47,91,40,56,32,73,55,80,64,72,64,68,72,64,73,68,72,68,0,100,100,42,71,14,57,100,0,28,42,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 16-20%","climatology fill 0%","climatology fill 6-10%","climatology fill 0%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 0%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 1-5%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16657,-320844.05617625,4779765.63977225,"h17v04",27,"Moors and heathland",4,53,96,68,69,79,71,71,24,80,NA,76,68,64,32,64,68,72,80,73,72,67,100,57,85,28,100,42,100,57,0,0,NA,"processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, other quality","processed, good quality","not processed","climatology fill 11-15%","climatology fill 1-5%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 1-5%","climatology fill 6-10%","climatology fill 16-20%","climatology fill 6-10%","climatology fill 6-10%","climatology fill 0%","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
"Arija_2",16658,-320380.74345975,4779765.63977225,"h17v04",27,"Moors and heathland",132,28,NA,138,99,116,93,66,149,121,148,36,72,67,68,32,32,76,72,68,64,72,57,0,NA,85,100,100,71,100,71,71,0,"processed, good quality","processed, good quality","not processed","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 1-5%","climatology fill 6-10%","climatology fill 0%","climatology fill 1-5%","climatology fill 0%","climatology fill 0%","climatology fill 11-15%","climatology fill 6-10%","climatology fill 1-5%","climatology fill 0%","climatology fill 6-10%","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","land","land","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline","ocean/lake coastline"
